reference id,Pubchem_id,iupac_name,molecular_formula,molecular_weight,kegg_id,,,,
11624161,11624161,"4-[2-[(1R,4aS,5R,6R,8aS)-6-hydroxy-5-(hydroxymethyl)-5,8a-dimethyl-2-methylidene-3,4,4a,6,7,8-hexahydro-1H-naphthalen-1-yl]ethyl]-2H-furan-5-one",C20H30O4,334.4,Not available,,,,
122724,122724,"(2R,4aS,6aR,6aS,14aS,14bR)-10-hydroxy-2,4a,6a,6a,9,14a-hexamethyl-11-oxo-1,3,4,5,6,13,14,14b-octahydropicene-2-carboxylic acid",C29H38O4,450.6,Not available,,,,
122850,122850,"(2R,3R)-3,5,7-trihydroxy-2-(4-hydroxyphenyl)-2,3-dihydrochromen-4-one",C15H12O6,288.25,C00974 ,,,,
10168,10168,"4,5-dihydroxy-9,10-dioxoanthracene-2-carboxylic acid ",C15H8O6,284.22,C10401 ,,,,
101662587,101662587,"[(1S,2R,3R,4S,5R,6S,8R,12S,13S,16S,19S,20R,21S)-14-ethyl-4,6,19,21-tetramethoxy-9,11-dioxa-14-azaheptacyclo[10.7.2.12,5.01,13.03,8.08,12.016,20]docosan-16-yl]methyl 2-(3-methyl-2,5-dioxopyrrolidin-1-yl)benzoate",C38H50N2O10,694.8,Not available,,,,
13963762,13963762,"(2S)-7,8-dimethoxy-2-phenyl-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2,3-dihydrochromen-4-one",C23H26O10,462.4,Not available,,,,
14033983,14033983,"3-methoxy-8,8-dimethyl-2-phenylpyrano[2,3-f]chromen-4-one ",C21H18O4,334.4,Not available,,,,
101520,101520,"(6aS,6bS,8aS,11R,12aR,14aR)-3-hydroxy-4,6a,6b,8a,11,14a-hexamethyl-7,8,9,11,12,12a,13,14-octahydropicene-2,10-dione",C28H36O3,420.6,Not available,,,,
13849,13849,pentadecanoic acid ,C15H30O2,242.4,C16537 ,,,,
14309762,14309762,"7,20-dihydroxy-17-(2-hydroxypropan-2-yl)-10,12,16-trioxapentacyclo[11.7.0.03,11.04,9.015,19]icosa-1(20),3(11),4(9),5,7,13,15(19)-heptaen-2-one",C20H16O7,368.3,Not available,,,,
244,244,phenylmethanol ,C7H8OC6H5CH2OH,108.14,C00556 ,,,,
3938139,3938139,"(2,5-dihydroxy-4-methoxyphenyl)-phenylmethanone ",C14H12O4,244.24,Not available,,,,
4055,4055,"2-methylnaphthalene-1,4-dione ",C11H8O2,172.18,C05377 ,,,,
3884,3884,"4-hydroxy-3-(3-methylbut-2-enyl)naphthalene-1,2-dione ",C15H14O3,242.27,C10366 ,,,,
24721137,,,,,,,,,
3083613,,,,,,,,,
181119,,,,,,,,,
182665,182665,"1-(1,8-dihydroxy-6-methyl-9,10-dioxoanthracen-2-yl)-4,5-dihydroxy-2-methylanthracene-9,10-dione ",C30H18O8,506.5,Not available,,,,
42608054,42608054,"2-(2,4-dimethoxyphenyl)-7-hydroxy-5-methoxy-2,3-dihydrochromen-4-one ",C18H18O6,330.3,Not available,,,,
31253,31253,"7-methyl-3-methylideneocta-1,6-diene ",C10H16,136.23,C06074 ,,,,
323,323,chromen-2-one ,C9H6O2,146.14,C05851 ,,,,
320054,320054,"5-hydroxy-2-(3-hydroxy-4-methoxyphenyl)-7-methoxy-2,3-dihydrochromen-4-one ",C17H16O6,316.3,Not available,,,,
326,326,4-propan-2-ylbenzaldehyde ,C10H12O,148.2,C06577 ,,,,
